7,23,23,23,23,23,23,23,23,23,23,23,23,13,6,23,23,23,23,23,23,23,23,23,23,23,23,0
8,27,27,27,27,27,27,27,27,27,27,27,27,35,32,27,27,27,27,27,27,27,27,27,27,27,27,1
8,27,45,17,17,18,27,45,17,17,17,18,27,35,32,27,45,17,17,17,18,27,45,17,17,18,27,1
8,41,35,20,20,32,27,35,20,20,20,32,27,35,32,27,35,20,20,20,32,27,35,20,20,32,41,1
8,27,47,11,11,36,27,47,11,11,11,36,27,47,36,27,47,11,11,11,36,27,47,11,11,36,27,1
8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1
8,27,45,17,17,18,27,45,44,27,45,17,17,17,17,17,17,18,27,45,44,27,45,17,17,18,27,1
8,27,47,11,11,36,27,35,32,27,47,11,11,40,33,11,11,36,27,35,32,27,47,11,11,36,27,1
8,27,27,27,27,27,27,35,32,27,27,27,27,35,32,27,27,27,27,35,32,27,27,27,27,27,27,1
15,3,3,3,3,44,27,35,42,17,17,18,20,35,32,20,45,17,17,43,32,27,45,3,3,3,3,14
20,20,20,20,20,8,27,35,33,11,11,36,20,47,36,20,47,11,11,40,32,27,1,20,20,20,20,20
20,20,20,20,20,8,27,35,32,20,20,20,20,20,20,20,20,20,20,35,32,27,1,20,20,20,20,20
20,20,20,20,20,8,27,35,32,20,39,10,26,20,20,19,3,38,20,35,32,27,1,20,20,20,20,20
23,23,23,23,23,36,27,47,36,20,1,20,20,20,20,20,20,8,20,47,36,27,37,23,23,23,23,23
20,20,20,20,20,20,27,20,20,20,1,20,20,20,20,20,20,8,20,20,20,27,20,20,20,20,20,20
3,3,3,3,3,18,27,45,44,20,1,20,20,20,20,20,20,8,20,45,44,27,45,3,3,3,3,3
20,20,20,20,20,8,27,35,32,20,12,23,23,23,23,23,23,5,20,35,32,27,1,20,20,20,20,20
20,20,20,20,20,8,27,35,32,20,20,20,20,20,20,20,20,20,20,35,32,27,1,20,20,20,20,20
20,20,20,20,20,8,27,35,32,20,45,17,17,17,17,17,17,18,20,35,32,27,1,20,20,20,20,20
7,23,23,23,23,36,27,47,36,20,47,11,11,40,33,11,11,36,20,47,36,27,37,23,23,23,23,0
8,27,27,27,27,27,27,27,27,27,27,27,27,35,32,27,27,27,27,27,27,27,27,27,27,27,27,1
8,27,45,17,24,44,27,45,17,17,17,18,27,35,32,27,45,17,17,17,18,27,45,24,17,18,27,1
8,27,47,11,40,32,27,47,11,11,11,36,27,47,36,27,47,11,11,11,36,27,35,33,11,36,27,1
8,41,27,27,35,32,27,27,27,27,27,27,27,20,20,27,27,27,27,27,27,27,35,32,27,27,41,1
9,17,18,27,35,32,27,45,44,27,45,17,17,17,17,17,17,18,27,45,44,27,35,32,27,45,24,2
21,11,36,27,47,36,27,35,32,27,47,11,11,40,33,11,11,36,27,35,32,27,47,36,27,47,11,16
8,27,27,27,27,27,27,35,32,27,27,27,27,35,32,27,27,27,27,35,32,27,27,27,27,27,27,1
8,27,45,17,17,17,17,43,42,17,17,18,27,35,32,27,45,17,17,43,42,17,17,17,17,18,27,1
8,27,47,11,11,11,11,11,11,11,11,36,27,47,36,27,47,11,11,11,11,11,11,11,11,36,27,1
8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1
15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14
